trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.4166611411102765, 'e': 0.2166611411102765}",20,14,8.77533677731073,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.4159115471545889, 'e': 0.2159115471545889}",30,19,16.995133010951236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.4151667737721436, 'e': 0.21516677377214358}",20,15,8.381738714859559,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.4144267593575377, 'e': 0.2144267593575377}",25,13,20.176440277948174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.41369144347882064, 'e': 0.21369144347882063}",35,17,33.84467329761747,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.41296076684787963, 'e': 0.21296076684787962}",25,15,12.424316497508983,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.4122346712917534, 'e': 0.2122346712917534}",25,13,21.811817030725134,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.41151309972484007, 'e': 0.2115130997248401}",20,0,24.847476780336827,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.4107959961219651, 'e': 0.2107959961219651}",20,16,9.435744108679868,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.41008330549227795, 'e': 0.21008330549227794}",20,5,25.67715765465666,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.4093749738539473, 'e': 0.20937497385394727}",20,6,24.181506763870516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.408670948209625, 'e': 0.20867094820962503}",20,8,15.87498406609617,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.407971176522652, 'e': 0.207971176522652}",25,10,29.668067668263976,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
